"Feature_ID"	"Taxon"	"Confidence"
"33"	"f65bea507b1abf25d534a5bc2d69ece4"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Steroidobacterales; f__Woeseiaceae; g__Woeseia"	0.728526201353661
"34"	"9d9f65926420de5e0faf6332fa4e84d9"	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Aquibacter; s__Flavobacteriaceae_bacterium"	0.993255126535427
"35"	"2733e720f450836151a23417074e40af"	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Aquibacter"	0.848185268337763
"36"	"9c77669526c2d80b46561cd7be012890"	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__uncultured; s__uncultured_bacterium"	0.884961741274877
"37"	"3da243b6e92d0ec9efdf25e86257b360"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__B2M28; f__B2M28; g__B2M28; s__uncultured_marine"	0.722206513093721
"38"	"e0efaf70bee8c8c899e80996dfcff86e"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Pseudophaeobacter"	0.755632708756625
"39"	"9d59a09c8123413b9024654016909584"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Mitochondria; s__uncultured_bacterium"	0.952897991885847
"40"	"1131543a8810cc8a06d602bebd6db721"	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Aquibacter"	0.850628432240257
"41"	"498de7a161b0b22faa72c3c8c463b584"	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__uncultured; s__uncultured_sediment"	0.804636788483792
"42"	"e92006c6a15be05486c48c6eb5312c3e"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Gammaproteobacteria_Incertae_Sedis; f__Unknown_Family; g__uncultured"	0.999996071390545
"43"	"f6622ee54c7167e66cc87fc7d4377991"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Steroidobacterales; f__Woeseiaceae; g__Woeseia"	0.953680888912848
"44"	"0d8c11b070a5272d07a8750e739d5c4b"	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavirhabdus"	0.706328647601619
"45"	"d0fc024b8ebef189078a1f21be6ee690"	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Lutibacter"	0.99206263304921
"46"	"54178682f7154e44ae8b864f642dcc8e"	"d__Bacteria; p__Verrucomicrobiota; c__Chlamydiae; o__Chlamydiales; f__Simkaniaceae; g__Candidatus_Fritschea; s__Candidatus_Syngnamydia"	0.89676143393734
"47"	"b812b3053f0541572f21a7a607b926d8"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Gammaproteobacteria_Incertae_Sedis; f__Unknown_Family; g__uncultured"	0.999987891322026
"48"	"afb12f5285b024caeb84381d1e0f6335"	"d__Bacteria; p__Desulfobacterota; c__Desulfobacteria; o__Desulfobacterales; f__Desulfosarcinaceae; g__Sva0081_sediment_group; s__uncultured_Desulfobacteraceae"	0.899868099254268
"49"	"2af9984b01d4e021b754653a237cf18d"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae"	0.999371613250578
"50"	"68f35a88b0fdce3de8906b14fb9223d8"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__Halioglobus"	0.725180769745446
